FileName,Extension,SizeBytes,SizeFormatted,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,FileUrl,SiteCollectionUrl,SiteTitle,LibraryTitle,VersionCount,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10
Invoice 123.PDF,pdf,2230170,2.13 MB,09/19/2024 21:13:00,Denis Molodtsov,09/19/2024 21:13:00,Denis Molodtsov,https://gocleverpointcom.sharepoint.com/sites/contoso_demo/Shared Documents/Invoice 123.PDF,https://gocleverpointcom.sharepoint.com/sites/contoso_demo,Contoso,Documents,1,https://gocleverpointcom.sharepoint.com/sites/contoso_demo/sites,https://gocleverpointcom.sharepoint.com/sites/contoso_demo/sites/contoso_demo,https://gocleverpointcom.sharepoint.com/sites/contoso_demo/sites/contoso_demo/Shared Documents,,,,,,,
Invoice 123.PDF,pdf,2230170,2.13 MB,09/19/2024 21:14:00,Denis Molodtsov,09/19/2024 21:14:00,Denis Molodtsov,https://gocleverpointcom.sharepoint.com/sites/contoso_demo/Invoices/Invoice 123.PDF,https://gocleverpointcom.sharepoint.com/sites/contoso_demo,Contoso,Invoices,1,https://gocleverpointcom.sharepoint.com/sites/contoso_demo/Invoices,,,,,,,,,
